order_date,ingestion_date,product_name,most_ordered_day,is_public_holiday,tt_review_points,pct_one_star_review,pct_two_star_review,pct_three_star_review,pct_four_star_review,pct_five_star_review,pct_early_shipments,pct_late_shipments
2022-02-01,2023-06-24,Screwdriver,2022-02-17,f,940,18.670886075949365,23.417721518987342,18.670886075949365,20.253164556962027,18.9873417721519,,0
2022-01-01,2023-06-24,Armchair,2022-01-13,f,843,21.875,20.48611111111111,17.708333333333332,22.916666666666668,17.01388888888889,100,
2021-04-01,2023-06-24,Scooter,2021-04-24,f,967,17.15210355987055,20.388349514563107,17.79935275080906,21.68284789644013,22.977346278317153,,0
2021-01-01,2023-06-24,Car,2021-01-07,f,821,20.52238805970149,19.029850746268657,15.671641791044776,23.134328358208954,21.64179104477612,0,
2022-03-01,2023-06-24,Shoes,2022-03-15,f,896,21,22.333333333333332,16.333333333333332,17.666666666666668,22.666666666666668,,0
2021-07-01,2023-06-24,Armchair,2021-07-18,f,1686,21.875,20.48611111111111,17.708333333333332,22.916666666666668,17.01388888888889,100,0
2021-03-01,2023-06-24,Shoes,2021-03-30,f,1792,21,22.333333333333332,16.333333333333332,17.666666666666668,22.666666666666668,,0
2022-06-01,2023-06-24,Bed,2022-06-10,f,898,19.661016949152543,17.627118644067796,21.016949152542374,22.033898305084747,19.661016949152543,100,
2021-08-01,2023-06-24,Sofa,2021-08-29,f,824,23.367697594501717,23.02405498281787,17.52577319587629,19.243986254295532,16.83848797250859,,0
2021-02-01,2023-06-24,Smartphone,2021-02-17,f,785,19.475655430711612,19.475655430711612,26.591760299625467,16.47940074906367,17.97752808988764,,0
2021-11-01,2023-06-24,Smartphone,2021-11-29,f,785,19.475655430711612,19.475655430711612,26.591760299625467,16.47940074906367,17.97752808988764,100,
2022-07-01,2023-06-24,Underwear,2022-07-10,f,804,20.44609665427509,19.702602230483272,20.44609665427509,19.33085501858736,20.074349442379184,,0
2022-08-01,2023-06-24,Laptop,2022-08-28,f,806,19.62962962962963,22.22222222222222,18.88888888888889,18.51851851851852,20.74074074074074,,0
2021-11-01,2023-06-24,Hammer,2021-11-16,f,876,18.772563176895307,17.32851985559567,18.411552346570396,19.855595667870038,25.63176895306859,,0
2022-07-01,2023-06-24,Underwear,2022-07-02,f,1608,20.44609665427509,19.702602230483272,20.44609665427509,19.33085501858736,20.074349442379184,,0
2022-04-01,2023-06-24,Laptop,2022-04-10,f,806,19.62962962962963,22.22222222222222,18.88888888888889,18.51851851851852,20.74074074074074,100,
